序號,班級,學號,姓名,GitHub 帳號,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,電資四,109820433,愳粪源,ca4vt5iwmk,2,3,2,1,6,3,8,4,2,0
2,創新AI碩一,112C71502,耏畍砣,wmg2y2alw6,6,9,5,5,8,2,5,8,3,5
3,資工三,110590641,悞粡縑,9h8b1ggro,2,2,4,0,8,6,2,8,8,7
4,資工四,108590961,壶贘鋳,tpc2ttpyg9,4,8,6,7,6,3,2,9,2,1
5,創新AI碩二,111C71892,蓗駧忿,7swml4a2t6,6,7,7,7,0,8,5,3,9,0
6,電資AI碩二,111C52993,涊貃曗,aw55rcyt2p,0,8,3,0,9,1,4,0,2,6
7,電資資安碩一,112C53518,殏擬钧,rfmdi46whuj,8,9,1,6,7,2,9,5,5,5
8,互動碩二,111AC8682,垞颿暘,x8yihi2leq,8,5,8,8,6,8,3,2,1,0
9,電資四,109820435,嬿愂钯,cehyer4oifk,7,3,4,6,6,5,4,6,7,0
10,資工四,108590379,笨恶掿,i2droepe52,7,7,2,7,1,7,9,7,4,2
11,資工四,108590227,瞕玠粆,jnn7ved48of,8,7,4,1,0,9,8,4,2,8
12,創新資安碩一,112C72859,髐蟬啦,qqnyz9b416,7,0,8,8,2,6,8,6,7,5
13,電資AI碩二,111C52321,箹酉飏,9lc7w4b4o3,4,0,3,2,8,8,4,9,7,3
14,互動碩二,111AC8429,坟鄚你,jm0a9k1csz,5,5,2,2,0,0,6,1,8,2
15,互動碩二,111AC8594,諊庵璯,1r4obumxzji,8,0,4,3,2,9,6,1,1,4
16,創新資安碩一,112C72444,厅忋蓛,y86nt1zqfx,7,7,0,5,9,3,5,0,7,5
17,創新資安碩一,112C72183,洲贃嵻,gy2voiiprd,7,4,2,5,4,5,2,8,9,0
18,創新資安碩一,112C72586,黑櫮摮,6mtn4v65au,7,8,3,3,0,5,3,2,6,1
19,二資陸生二,110AEM343,胩鉟揎,dfgc8m4smu,5,1,8,5,2,7,8,1,8,0
20,二資港生二,110AEM159,搳頮肋,1lgvox5b9x,3,0,8,1,8,0,5,0,1,5
21,創新AI碩二,111C71284,醀竆鋏,w03menjsa9,0,6,0,0,7,7,8,9,5,4
22,電資四,109820305,沩縎拫,h9k7aew07a,9,6,4,2,3,8,1,8,3,3
23,創新資安碩一,112C72432,懗妒湩,tbqyqcrsuth,3,7,7,4,4,5,6,2,5,3
24,資工碩一,112598701,笌稆萕,x5alfhdckq,2,0,8,6,3,4,3,2,5,3
25,電資資安碩一,112C53476,摡獹熢,dkwbj5he4a,0,1,0,0,0,5,3,6,5,5
26,電資三,110820562,瀒袆菷,658qu74786,1,5,7,7,1,1,8,6,9,4
27,電資AI碩一,112C52795,葉猎锲,wj41i8asi1,1,7,6,1,1,0,3,7,9,3
28,二資港生二,110AEM871,栅玐贠,hmvokz0cf7,9,1,0,9,0,6,2,0,2,6
29,電資AI碩二,111C52635,乯貋葛,ayngpcn4kp,5,0,5,6,1,0,2,5,6,8
30,電資資安碩一,112C53087,汐鮅鱦,bwa4amaeqm,4,9,9,2,3,3,7,2,6,0
31,資工碩一,112598873,蕑糤傂,ezdttywlehk,5,5,6,3,3,1,1,1,1,3
32,互動碩二,111AC8858,蠟僻劶,oppog82sprf,0,5,3,3,3,0,8,4,9,1
33,資工碩二,111598214,挊猖鶝,e8a8t24y8x,7,3,3,2,0,6,7,7,9,1
34,互動碩二,111AC8503,罾遈偝,43h5jbmc8m,9,1,8,9,7,4,8,2,3,9
35,互動碩二,111AC8523,疊旇漷,188x3v1f8t,3,2,1,4,6,3,6,9,0,0
36,電資AI碩一,112C52012,諍痡躂,s3au4x1n8p,7,6,7,2,4,3,9,6,0,6
37,創新AI碩一,112C71374,妿條垽,ogzzrd5sw2g,4,4,1,7,5,6,3,6,6,8
38,資工三,110590145,蘓旎鵘,1hcbpr2i97,6,0,2,6,3,1,8,6,0,9
39,電資資安碩一,112C53902,镂郃帬,arjf0hnu2,2,1,7,0,9,5,1,6,0,4
40,二資陸生二,110AEM347,鸾愦挌,udaznfmy8t,6,7,0,8,6,3,9,0,7,5
41,創新資安碩一,112C72633,睆縖莟,g0m0wew54j,1,5,7,4,0,4,6,0,0,2
42,互動碩二,111AC8234,煙栛诗,zyzj07wml7,8,6,2,1,1,3,9,3,9,4
43,創新AI碩二,111C71609,壋錌鿻,250w7xb101,0,5,9,8,9,6,2,5,6,5
44,互動碩二,111AC8868,艢詤捖,xl9mu0sqba,7,8,9,2,6,8,3,1,2,2
45,電資AI碩二,111C52976,抵啰紪,md3d8zgmzo,2,0,6,0,9,4,2,5,2,8
46,資工四,108590684,骊莁薔,wc5n9nlrll,5,2,0,9,7,0,7,4,2,7
47,資工碩一,112598264,踳噀裁,bnuhp6gixc,3,1,9,3,7,5,1,3,6,5
48,二資陸生二,110AEM858,騎即橊,hxsf0esv5ah,5,9,0,9,7,5,2,6,0,5
49,二資港生二,110AEM744,邒禘酸,n6hk6yi28q,9,8,8,6,1,8,7,3,3,7
50,創新AI碩一,112C71681,桝汕榢,0cm8uoh0dz,2,1,7,4,9,3,9,0,7,5
51,電資AI碩二,111C52047,忁訓跦,0w41mvjd4g,1,0,9,5,2,3,5,8,2,2
52,資工碩三,110598006,鈚甒寿,x1dup9lsfp,6,6,9,7,8,4,9,3,6,4
53,二資港生二,110AEM994,榳紐鸮,v5x3oleps6,8,3,1,8,5,0,0,2,1,2
54,電資資安碩一,112C53375,瓄瘩虛,h1vkgeddcm,4,4,9,7,6,6,1,6,5,8
55,創新AI碩一,112C71144,土罁穟,r5aybfpnxa,0,4,4,2,5,9,1,7,6,8
56,電資資安碩一,112C53259,騧煭鷝,o5eg9xr99a,7,6,4,5,9,6,3,7,9,4
57,互動碩二,111AC8411,忖蝳疳,as4h8hcg25,2,8,5,9,2,1,1,1,4,0
58,二資陸生二,110AEM081,蠚輞傷,p2kgsr3i4il,7,9,3,3,6,8,6,6,7,8
59,電資資安碩一,112C53534,躕阊缧,e8zi9oth1o,4,4,4,6,2,9,4,9,6,4
60,互動碩二,111AC8370,陻肣章,v3sfl97h7oh,9,5,1,9,7,4,1,7,7,7
61,資工碩三,110598962,崡篗爫,ics4dp908g,4,9,9,3,8,9,5,2,6,9
62,資工四,108590818,圚牀斠,tnt6fjlovsf,5,1,6,7,3,1,8,5,6,5
63,資工四,108590428,吱儆榗,ezq5dihmv7,5,7,3,1,4,9,5,6,7,5
64,二資陸生二,110AEM849,苏干詻,cqq9i5t3kj,8,1,2,4,1,7,7,3,4,2
65,二資陸生二,110AEM658,袿签胖,1fuk7jw31sk,5,0,9,3,1,4,8,9,0,1
66,創新AI碩一,112C71837,弡鴧睱,sepqofs51ch,6,6,2,8,2,0,7,9,8,4
67,資工四,108590566,泸劌領,2b9upuoxop,8,3,1,5,2,9,4,1,2,7
68,電資三,110820033,枭媇粩,r48q3dej5e,4,9,5,9,6,9,9,0,0,0
69,電資AI碩一,112C52922,惒蠈榯,di2i059kol,3,6,1,1,1,2,5,8,2,0
70,資工三,110590806,敞浩嬞,r1xl4taajw,9,3,8,2,8,9,8,6,6,4
71,創新AI碩一,112C71741,贰彏艏,ry2vhbery9,9,1,9,1,3,5,8,8,8,3
72,電資AI碩一,112C52233,钓峉很,8icj0xezp4,6,4,8,6,2,6,6,4,8,8
73,資工碩二,111598190,刃躚鞄,vg1745q8bs,9,0,9,2,9,7,2,4,2,6
74,互動碩二,111AC8260,麾簄焣,68mnphzr6z,9,5,7,3,0,2,1,6,4,0
75,電資AI碩二,111C52470,赁楿库,tthq3dd5fm,9,8,6,4,0,7,0,4,4,8
76,二資陸生二,110AEM530,肱檐璞,6wqs0bjnnl,8,2,3,0,4,3,0,6,8,7
77,資工碩二,111598759,谣橒囒,h2xp45ecf7j,2,4,7,1,2,6,3,1,9,4
78,互動碩二,111AC8699,龉仙焿,7byo40gdid,1,7,2,6,4,8,7,4,3,1
79,創新AI碩一,112C71461,胳杶竆,aonpktzjcv,6,1,5,0,8,3,0,0,5,8
80,資工碩一,112598554,骭塡樫,13hbljo1bf,6,3,4,5,7,9,6,9,5,4
81,資工四,108590530,沌玶壛,csh6axuvy9,7,8,3,1,6,5,8,7,1,1
82,創新AI碩一,112C71572,闊襕釂,dj36761qhi,1,3,5,9,5,9,6,5,7,9
83,電資資安碩一,112C53316,耎莗樞,6v0wmtmdqc,1,0,6,7,2,9,1,9,5,8
84,互動碩二,111AC8691,奣間鮝,x7gw7a3fci,0,2,2,8,2,7,7,4,6,5
85,電資三,110820428,苞项约,84zyxumue7,9,7,0,1,4,6,8,4,3,3
86,電資四,109820799,惕嶢趪,627ry11bmj,7,0,6,8,8,2,4,8,0,8
87,電資AI碩二,111C52019,嫪鄍憉,1tdfj7q0u9,1,7,2,5,3,5,1,6,2,9
88,電資AI碩二,111C52956,矅虑嚷,ceesx0c6qm,9,8,6,1,1,4,3,2,6,3
89,資工三,110590181,乧蘤愯,zwxhspa3e0g,9,3,4,0,7,3,9,4,4,7
90,電資資安碩一,112C53477,藨懻佂,x7vmevjugu,4,0,0,0,3,9,4,4,8,2
91,電資AI碩二,111C52265,淍虿倧,3vmqn03rp4,4,6,1,3,6,3,4,1,7,0
92,資工三,110590491,曡竨鶇,e8mhbx9jib,7,8,5,4,4,6,3,0,1,9
93,資工碩一,112598485,襴刑踢,wz861etozd,1,5,9,0,5,8,4,3,0,1
94,電資資安碩一,112C53071,狔貿躸,b0llz7dflv,6,7,9,6,1,0,5,7,2,6
95,資工碩一,112598843,蜸度禾,6mvvi1u6we,8,0,2,1,7,0,5,0,4,1
96,資工四,108590831,逮琈綦,r5n39uxkye,5,3,4,1,3,7,0,9,3,4
97,電資四,109820146,榠乳脙,2qk1dg7ku8,8,6,9,3,6,9,8,2,4,8
98,資工碩三,110598420,蚸济虥,54v5tc0f4o,4,1,6,7,9,4,9,2,6,5
99,資工碩三,110598724,灉鶮蝀,l1fxy7rhrx,1,8,8,6,3,8,8,0,5,5
100,二資港生二,110AEM885,嗮娎冪,ngprunmewsj,2,5,4,0,9,6,5,6,4,8
101,二資陸生二,110AEM237,廳莧磋,1jl4318v7v,4,6,0,0,8,9,9,4,3,8
